token,type,sql_count,sl_count,hidden_by_sl
A2,column,1,0,True
A3,column,1,0,True
A4,column,1,0,True
A5,column,1,0,True
A6,column,1,0,True
A7,column,1,0,True
A8,column,1,0,True
A9,column,1,0,True
A10,column,1,0,True
A11,column,1,0,True
A12,column,1,0,True
A13,column,1,0,True
A14,column,1,0,True
A15,column,1,0,True
A16,column,1,0,True
POPLATEK MESICNE,code,0,0,False
POPLATEK TYDNE,code,0,0,False
POPLATEK PO OBRATU,code,0,0,False
VYBER KARTOU,code,0,0,False
VYBER,code,0,0,False
VKLAD,code,0,0,False
PREVOD Z UCTU,code,0,0,False
PRIJEM,code,0,0,False
VYDAJ,code,0,0,False
